username,totalStarsReceived
zhaort,0
uchida-takumi,40
EnzeXu,29
DragonChen-TW,36
pd90506,30
lyl7650,1
gary109,20
nurpeiis,65
ouening,120
BaoWentz,83
Technologia-X,0
Hung-Ta-Chen,4
pradeepsk-23,0
wenleix,23
KostasTok,7
ConorLazarou,0
finnickniu,60
wzwtime,10
joshuwaifo,3
vltmedia,27
JoonyoungYi,128
yshiyi,0
zhaoyuzhi,885
m0sys,2
MacJim,9
zheyejs,12
SeanCho1996,42
chrockey,11273
Joseph-Winkle,1
HyperGDX,5
nebula-beta,918
maingoc1605,0
quking,6
plok5308,18
gdelacruzfdez,0
mtiezzi,94
ErenBalatkan,124
polasha,10
zhangzihaokev,3
Alexiland,82
Etc170322,0
annadapb,1
The-RunningSnail,0
wwz58,9
Andrey885,6
1079863482,207
SunYW0108,16
QCOIN-LAB,0
3rd-Musketeer,3
cross32768,90
rythei,123
ghnreigns,18
roguh,81
junqingchang,30
jralha,9
kurudj,2
dixiyao,336
ritwikbera,22
koenry,1
mangyun,2
rohanath123,11
JJASMINE22,87
JindongJiang,338
NoyMoreno,0
obijzbo,0
nslay,21
ROCmSoftwarePlatform,0
Nakanoma,1
semin-park,475
abdulghaffaransari,1
YiPrograms,25
kirant1008,0
ChenWentai,3333
oscardpedrayes,7
poppyleo,16
arnoweng,697
Nihal987,0
swt-user,47
Lorenzoncina,13
sheepover96,15
ArtyZe,293
discdetsu,2
callmewenhao,21
Mahsa13473,1
KanghoonYoon,41
cypw,1728
LiliMeng,208
mindingyao,3
km-uchino,1
zhiyou720,35
TerYang,4
zukangy,2
Ravitha,11
martius-lab,0
echurch,8
freezinghands,6
Spijkervet,1593
assafge,4
heathcliff233,17
JunMoLee,37
bnusss,0
foamliu,4842
alex-lechner,157
PengBoXiangShang,1266
Ikomia-hub,0
suilin0432,32
DARK-art108,425
G-U-N,1529
FredaWerdiger,3
songyouwei,1993
WBGZDTSL,4
VincLee8188,157
acholston,0
zack-yu666,0
jameschengpeng,13
dlgyy,0
enterpine,3
TobiasDing,1
ptklx,9
Chen-Junbao,43
tochilkinva,49
ayooshkathuria,7019
wb014,0
yashbelhe,3
pedrob37,15
Ovikx,16
caganselim,15
ShreyDixit,23
MKowal2,90
yuquanle,600
Xiangyu-CAS,367
EgOrlukha,11
shubhamjn1,88
hayashimasa,27
arnab39,710
